cv	day	do
Azucena	1	7.74
Azucena	1	8.03
Azucena	1	7.98
Azucena	1	7.65
Azucena	1	7.85
Azucena	1	8.21
IR-72	1	8.19
IR-72	1	8.48
IR-72	1	8.43
IR-72	1	8.18
IR-72	1	8.22
IR-72	1	7.91
P09	1	7.69
P09	1	8.66
P09	1	8.43
P09	1	7.68
P09	1	8.64
P09	1	7.33
Sab	1	8.24
Sab	1	7.64
Sab	1	8.24
Sab	1	8.14
Sab	1	8.24
Sab	1	7.99
Azucena	2	5.26
Azucena	2	5.45
Azucena	2	4.34
Azucena	2	4.11
Azucena	2	4.41
Azucena	2	4.37
IR-72	2	5.54
IR-72	2	5.98
IR-72	2	5.68
IR-72	2	4.58
IR-72	2	5.46
IR-72	2	5.45
P09	2	5.24
P09	2	5.98
P09	2	4.76
P09	2	4.87
P09	2	4.68
P09	2	4.79
Sab	2	5.98
Sab	2	4.87
Sab	2	5.22
Sab	2	3.98
Sab	2	3.46
Sab	2	5.12
Azucena	3	4.52
Azucena	3	3.29
Azucena	3	1.94
Azucena	3	2.98
Azucena	3	3.27
Azucena	3	4.46
IR-72	3	4.33
IR-72	3	4.11
IR-72	3	3.46
IR-72	3	4.39
IR-72	3	4.67
IR-72	3	4.29
P09	3	3.62
P09	3	2.95
P09	3	3.99
P09	3	2.35
P09	3	3.75
P09	3	3.36
Sab	3	3.76
Sab	3	3.65
Sab	3	2.68
Sab	3	2.98
Sab	3	4.21
Sab	3	4.42
Azucena	4	2.57
Azucena	4	1.76
Azucena	4	2.38
Azucena	4	2.61
Azucena	4	2.53
Azucena	4	1.68
IR-72	4	2.93
IR-72	4	2.65
IR-72	4	2.96
IR-72	4	2.89
IR-72	4	2.89
IR-72	4	2.61
P09	4	2.12
P09	4	2.6
P09	4	2.41
P09	4	2.03
P09	4	1.98
P09	4	2.01
Sab	4	2.16
Sab	4	2.34
Sab	4	1.98
Sab	4	2.43
Sab	4	2.44
Sab	4	2.13
Azucena	5	1.68
Azucena	5	1.78
Azucena	5	2.48
Azucena	5	1.65
Azucena	5	1.73
Azucena	5	2.43
IR-72	5	2.35
IR-72	5	2.68
IR-72	5	2.39
IR-72	5	2.3
IR-72	5	2.63
IR-72	5	2.34
P09	5	2.44
P09	5	1.65
P09	5	2.35
P09	5	2.42
P09	5	1.35
P09	5	2.25
Sab	5	1.64
Sab	5	2.45
Sab	5	1.42
Sab	5	2.33
Sab	5	2.31
Sab	5	1.95
Azucena	6	0.47
Azucena	6	1.74
Azucena	6	0.41
Azucena	6	1.71
Azucena	6	0.35
Azucena	6	1.67
IR-72	6	1.63
IR-72	6	0.72
IR-72	6	1.61
IR-72	6	0.69
IR-72	6	1.59
IR-72	6	0.66
P09	6	0.99
P09	6	1.85
P09	6	1.84
P09	6	1.49
P09	6	1.94
P09	6	1.95
Sab	6	1.63
Sab	6	0.96
Sab	6	1.78
Sab	6	0.84
Sab	6	0.96
Sab	6	1.25
