"HAGRID","Kingdom","Phylum","Class","Order","Family","Genus","Species","Common name","Female_maturity","Male_maturity","Gestation","Weaning","Litter_size","Litters_pa","Interbirth_interval","Birth_weight","Weaning_weight","Adult_weight","Growth_rate","Maximum_longevity","Source","Specimen_origin","Sample_size","Data_quality","IMR","MRDT","Metabolic_rate","Body_mass","Temperature","References"
32,"Animalia","Chordata","Amphibia","Anura","Ascaphidae","Ascaphus","truei","Coastal tailed frog",NA,NA,32,NA,62,NA,NA,NA,NA,NA,NA,14,"525","wild","medium","acceptable",NA,NA,NA,NA,NA,"525,749"
33,"Animalia","Chordata","Amphibia","Anura","Bombinatoridae","Bombina","bombina","Firebelly toad",1095,1095,NA,NA,190,NA,NA,NA,NA,NA,NA,20,"485","captivity","medium","acceptable",NA,NA,NA,NA,NA,"485,525,749"
34,"Animalia","Chordata","Amphibia","Anura","Bombinatoridae","Bombina","orientalis","Oriental firebelly toad",NA,NA,NA,NA,148,NA,NA,NA,NA,NA,NA,15.8,"451","captivity","large","acceptable",NA,NA,NA,NA,NA,"451,525,749"
35,"Animalia","Chordata","Amphibia","Anura","Bombinatoridae","Bombina","variegata","Yellow-bellied toad",NA,NA,NA,NA,73,NA,NA,NA,NA,NA,NA,29,"","captivity","medium","acceptable",NA,NA,NA,NA,NA,"24,525,749"
36,"Animalia","Chordata","Amphibia","Anura","Bufonidae","Anaxyrus","americanus","American toad",910,910,8,NA,6000,NA,365,NA,NA,21.7667,NA,36,"525","captivity","medium","acceptable",NA,NA,0.00829,21.6,288,"37,268,426,525,749"
37,"Animalia","Chordata","Amphibia","Anura","Bufonidae","Anaxyrus","boreas","Western toad",1095,1095,6,NA,5200,NA,NA,NA,NA,NA,NA,11.5,"451","captivity","medium","acceptable",NA,NA,NA,NA,NA,"437,451,526,749"
38,"Animalia","Chordata","Amphibia","Anura","Bufonidae","Anaxyrus","californicus","Arroyo toad",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,"1440","wild","medium","acceptable",NA,NA,NA,NA,NA,"1440"
39,"Animalia","Chordata","Amphibia","Anura","Bufonidae","Anaxyrus","canorus","Yosemite toad",1825,1460,11,NA,1750,NA,NA,NA,NA,NA,NA,15,"503","wild","medium","acceptable",NA,NA,NA,NA,NA,"503,526,749"
40,"Animalia","Chordata","Amphibia","Anura","Bufonidae","Anaxyrus","cognatus","Great plains toad",730,730,4,NA,11074,NA,NA,NA,NA,NA,NA,10.7,"485","captivity","small","questionable",NA,NA,NA,NA,NA,"485,526,749"
41,"Animalia","Chordata","Amphibia","Anura","Bufonidae","Anaxyrus","debilis","Green toad",NA,NA,NA,NA,1300,NA,NA,NA,NA,NA,NA,12.4,"451","captivity","small","acceptable",NA,NA,NA,NA,NA,"451,749"
42,"Animalia","Chordata","Amphibia","Anura","Bufonidae","Anaxyrus","hemiophrys","Canadian toad",730,730,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.3,"451","captivity","small","acceptable",NA,NA,NA,NA,NA,"451,528"
43,"Animalia","Chordata","Amphibia","Anura","Bufonidae","Anaxyrus","punctatus","Red-spotted toad",730,730,NA,NA,1500,NA,NA,NA,NA,NA,NA,11.3,"485","captivity","medium","acceptable",NA,NA,NA,NA,NA,"485,749"
44,"Animalia","Chordata","Amphibia","Anura","Bufonidae","Anaxyrus","retiformis","Sonoran green toad",NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,15.3,"451","captivity","small","acceptable",NA,NA,NA,NA,NA,"451,749"
45,"Animalia","Chordata","Amphibia","Anura","Bufonidae","Anaxyrus","terrestris","Southern toad",NA,NA,3,NA,3250,NA,NA,NA,NA,19.267,NA,10,"451","captivity","medium","acceptable",NA,NA,0.00698,19.2,288,"37,451,749"
46,"Animalia","Chordata","Amphibia","Anura","Bufonidae","Atelopus","varius","Veragoa stubfoot toad",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"451","captivity","large","acceptable",NA,NA,NA,NA,NA,"451"
47,"Animalia","Chordata","Amphibia","Anura","Bufonidae","Bufo","bufo","Common European toad",1460,1460,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,"451","captivity","medium","acceptable",NA,NA,NA,NA,NA,"451,525,526,1134"
48,"Animalia","Chordata","Amphibia","Anura","Bufonidae","Incilius","alvarius","Sonoran desert toad, or Colorado river toad",NA,1095,NA,NA,7750,NA,NA,NA,NA,NA,NA,15.4,"485","captivity","medium","acceptable",NA,NA,NA,NA,NA,"485,749"
49,"Animalia","Chordata","Amphibia","Anura","Bufonidae","Nectophrynoides","asperginis","Kihansi spray toad",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"990","captivity","medium","questionable",NA,NA,NA,NA,NA,"990"
50,"Animalia","Chordata","Amphibia","Anura","Bufonidae","Peltophryne","lemur","Ridge-headed toad",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.7,"451","captivity","small","acceptable",NA,NA,NA,NA,NA,"451"
51,"Animalia","Chordata","Amphibia","Anura","Bufonidae","Peltophryne","peltocephala","Cuban toad",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,"485","captivity","small","acceptable",NA,NA,NA,NA,NA,"485"
52,"Animalia","Chordata","Amphibia","Anura","Bufonidae","Pseudepidalea","viridis","European green toad",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.9,"451","captivity","large","acceptable",NA,NA,NA,NA,NA,"451"
53,"Animalia","Chordata","Amphibia","Anura","Bufonidae","Rhaebo","blombergi","Colombian giant toad",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.7,"451","captivity","tiny","acceptable",NA,NA,NA,NA,NA,"451"
54,"Animalia","Chordata","Amphibia","Anura","Bufonidae","Rhinella","arenarum","Argentine toad",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","unknown","small","low",NA,NA,NA,NA,NA,"451,525"
55,"Animalia","Chordata","Amphibia","Anura","Bufonidae","Rhinella","marina","Cane toad",365,365,2,NA,10000,NA,NA,NA,NA,106.25,NA,24.8,"485","captivity","large","acceptable",NA,NA,0.0303,105,293,"37,296,485,749"
56,"Animalia","Chordata","Amphibia","Anura","Bufonidae","Rhinella","schneideri","Eurura toad",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.1,"451","captivity","small","acceptable",NA,NA,NA,NA,NA,"451"
57,"Animalia","Chordata","Amphibia","Anura","Ceratophryidae","Ceratophrys","aurita","Common horned frog",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.8,"451","captivity","small","acceptable",NA,NA,NA,NA,NA,"451"
58,"Animalia","Chordata","Amphibia","Anura","Ceratophryidae","Ceratophrys","calcarata","Colombian horned frog",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.9,"451","captivity","tiny","acceptable",NA,NA,NA,NA,NA,"451"
59,"Animalia","Chordata","Amphibia","Anura","Ceratophryidae","Ceratophrys","cornuta","Amazonian horned frog",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.3,"485","captivity","small","acceptable",NA,NA,NA,NA,NA,"485,749"
60,"Animalia","Chordata","Amphibia","Anura","Ceratophryidae","Ceratophrys","ornata","Ornate horned frog",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.7,"451","captivity","medium","acceptable",NA,NA,NA,NA,NA,"451"
61,"Animalia","Chordata","Amphibia","Anura","Conrauidae","Conraua","goliath","Goliath frog",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.9,"451","captivity","small","acceptable",NA,NA,NA,NA,NA,"451,749"
62,"Animalia","Chordata","Amphibia","Anura","Dendrobatidae","Dendrobates","auratus","Green and black dart-poison frog",365,365,12,NA,6,NA,NA,NA,NA,NA,NA,20.5,"448","captivity","large","acceptable",NA,NA,NA,NA,NA,"448,749"
63,"Animalia","Chordata","Amphibia","Anura","Dendrobatidae","Dendrobates","leucomelas","Yellow-banded poison frog",75,75,12,NA,7,NA,NA,NA,NA,NA,NA,11.5,"451","captivity","large","acceptable",NA,NA,NA,NA,NA,"451,749"
64,"Animalia","Chordata","Amphibia","Anura","Dendrobatidae","Dendrobates","tinctorius","Blue poison-dart frog",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","unknown","large","low",NA,NA,NA,NA,NA,"451"
65,"Animalia","Chordata","Amphibia","Anura","Dendrobatidae","Oophaga","histrionica","Kokoe-pa poison dart frog",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.1,"451","captivity","medium","acceptable",NA,NA,NA,NA,NA,"451"
66,"Animalia","Chordata","Amphibia","Anura","Dendrobatidae","Oophaga","pumilio","Strawberry poison frog",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5,"451","captivity","medium","acceptable",NA,NA,NA,NA,NA,"451"
67,"Animalia","Chordata","Amphibia","Anura","Dendrobatidae","Phyllobates","vittatus","Golfo dulce poison-dart frog",304,304,15,NA,14,NA,NA,NA,NA,NA,NA,NA,"","unknown","medium","low",NA,NA,NA,NA,NA,"749"
68,"Animalia","Chordata","Amphibia","Anura","Dicroglossidae","Hoplobatrachus","occipitalis","African tigrine frog",NA,NA,NA,NA,NA,NA,NA,NA,NA,48.1,NA,10.9,"451","captivity","small","acceptable",NA,NA,NA,NA,NA,"451,749"
69,"Animalia","Chordata","Amphibia","Anura","Hylidae","Acris","blanchardi","Blanchards cricket frog										1				unknown	small	low						1096
00070	Animalia	Chordata	Amphibia	Anura	Hylidae	Acris	crepitans	Northern cricket frog												4.9	485	captivity	small	questionable						485,749,1096
00071	Animalia	Chordata	Amphibia	Anura	Hylidae	Diaglena	spatulata	Treefrog												12.8	451	captivity	tiny	acceptable						451
00072	Animalia	Chordata	Amphibia	Anura	Hylidae	Hyla	arborea	European tree frog												22	451	captivity	small	acceptable						451
00073	Animalia	Chordata	Amphibia	Anura	Hylidae	Hyla	chrysoscelis	Copes gray treefrog",730,547,21,NA,35,NA,NA,NA,NA,NA,NA,7.8,"485","captivity","medium","acceptable",NA,NA,NA,NA,NA,"485,528,749"
74,"Animalia","Chordata","Amphibia","Anura","Hylidae","Hyla","cinerea","Green treefrog",730,730,NA,NA,1222,NA,NA,NA,NA,NA,NA,NA,"","unknown","medium","low",NA,NA,NA,NA,NA,"485,749"
